Tue Apr 25 15:46:32 2023    profiling/output.prof

         226 function calls (222 primitive calls) in 0.000 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      2/1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_parse.py:174(getwidth)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.print}
       29    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_parse.py:493(_parse)
        1    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        1    0.000    0.000    0.000    0.000 src/profiling.py:8(parseData)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/enum.py:899(_create_pseudo_member_)
        1    0.000    0.000    0.000    0.000 src/profiling.py:53(calculateProfiling)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/re.py:289(_compile)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_compile.py:759(compile)
      2/1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_compile.py:71(_compile)
        1    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.000    0.000 src/profiling.py:33(calculateExpression)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/enum.py:978(_decompose)
        1    0.000    0.000    0.000    0.000 src/profiling.py:27(calculateAverage)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_compile.py:536(_compile_info)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_compile.py:276(_optimize_charset)
       29    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_parse.py:937(parse)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/enum.py:997(<listcomp>)
       11    0.000    0.000    0.000    0.000 /home/xmarek74/IVS/proj2/IVS_tym_xkovac58/src/mathlib.py:56(pow)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_parse.py:435(_parse_sub)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/enum.py:938(__and__)
        8    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_parse.py:164(__getitem__)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/enum.py:631(__new__)
        9    0.000    0.000    0.000    0.000 /usr/lib/python3.8/types.py:171(__get__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/codecs.py:319(decode)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_parse.py:233(__next)
    25/23    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_compile.py:249(_compile_charset)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/enum.py:313(__call__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/re.py:223(split)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_compile.py:598(_code)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_parse.py:355(_escape)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_parse.py:224(__init__)
        9    0.000    0.000    0.000    0.000 /usr/lib/python3.8/enum.py:748(name)
        5    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_parse.py:286(tell)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_compile.py:461(_get_literal_prefix)
        1    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_parse.py:921(fix_flags)
        1    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_parse.py:160(__len__)
        1    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/enum.py:889(_missing_)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_compile.py:423(_simple)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_parse.py:172(append)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_compile.py:595(isstring)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_parse.py:111(__init__)
       11    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_compile.py:492(_get_charset_prefix)
       10    0.000    0.000    0.000    0.000 /home/xmarek74/IVS/proj2/IVS_tym_xkovac58/src/mathlib.py:9(sum)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_parse.py:76(__init__)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_parse.py:254(get)
        2    0.000    0.000    0.000    0.000 /home/xmarek74/IVS/proj2/IVS_tym_xkovac58/src/mathlib.py:36(div)
        1    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x908780}
        1    0.000    0.000    0.000    0.000 /home/xmarek74/IVS/proj2/IVS_tym_xkovac58/src/mathlib.py:68(root)
        2    0.000    0.000    0.000    0.000 /home/xmarek74/IVS/proj2/IVS_tym_xkovac58/src/mathlib.py:27(mul)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_parse.py:249(match)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_compile.py:453(_get_iscased)
        2    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_parse.py:81(groups)
